"","feature","frequency","rank","docfreq","group"
"1","时_，_他",4,1,1,"吴树文1"
"2","咖_，_叽",4,1,1,"吴树文2"
"3","后_，_佐助",2,1,1,"吴树文3"
"4","”_，_背面",2,1,1,"曹曼1"
"5","时候_，_春琴",2,1,1,"曹曼2"
"6","佐助_，_这",2,1,1,"曹曼3"
"7","的_，_所以",4,1,1,"杨爽1"
"8","时候_，_佐助",4,1,1,"杨爽2"
"9","说_，_春琴",3,1,1,"杨爽3"
"10","”_，_但",3,1,1,"林少华1"
"11","时_，_佐助",2,1,1,"林少华2"
"12","这样_，_佐",3,1,1,"林少华3"
"13","之后_，_他",4,1,1,"谭晶华徐建雄1"
"14","时候_，_春琴",3,1,1,"谭晶华徐建雄2"
"15","佐助_，_你",3,1,1,"谭晶华徐建雄3"
"16","时候_，_佐助",5,1,1,"郑民钦1"
"17","时候_，_她",4,1,1,"郑民钦2"
"18","佐助_，_你",3,1,1,"郑民钦3"
