"","feature","frequency","rank","docfreq","group"
"1","了_。",48,1,1,"吴树文1"
"2","了_。",50,1,1,"吴树文2"
"3","了_。",42,1,1,"吴树文3"
"4","”_，",15,1,1,"曹曼1"
"5","了_。",19,1,1,"曹曼2"
"6","了_。",16,1,1,"曹曼3"
"7","的_。",25,1,1,"杨爽1"
"8","了_。",30,1,1,"杨爽2"
"9","了_。",21,1,1,"杨爽3"
"10","的_。",15,1,1,"林少华1"
"11","了_，",11,1,1,"林少华2"
"12","了_，",16,1,1,"林少华3"
"13","了_。",56,1,1,"谭晶华徐建雄1"
"14","了_。",73,1,1,"谭晶华徐建雄2"
"15","了_。",56,1,1,"谭晶华徐建雄3"
"16","时候_，",21,1,1,"郑民钦1"
"17","时候_，",21,1,1,"郑民钦2"
"18","了_。",17,1,1,"郑民钦3"
